Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Distance cycling(mi),Distance walking / running(mi),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2017-12-30,,,,,2.160,,21.000,,,,5577.000,
2017-12-31,,,,,2.132,,15.000,,,,5471.082,
2018-01-01,,,,,2.054,,9.000,,,,5290.099,
2018-01-02,,,,,1.244,,14.000,,,,3136.819,
2018-01-03,,,,,1.446,,8.000,,,,3532.000,
2018-01-04,,,,,1.623,,17.000,,,,3669.000,
2018-01-05,,,,,1.004,,7.000,,,,2439.405,
2018-01-06,,,,,2.383,,17.000,,,,6194.595,
2018-01-07,,,,,1.195,,13.000,,,,2811.000,
2018-01-08,,,,,0.850,,11.000,,,,2046.109,
2018-01-09,,,,,0.913,,9.000,,,,2167.497,
2018-01-10,,,,,1.238,,15.000,,,,2935.393,
2018-01-11,,,,,1.227,,16.000,,,,3133.178,
2018-01-12,,,,,1.413,,10.000,,,,3726.005,
2018-01-13,,,,,1.845,,6.000,,,,5015.817,
2018-01-14,,,,,1.609,,12.000,,,,4195.274,
2018-01-15,,,,,2.307,,10.000,,,,5927.726,
2018-01-16,,,,,1.406,,4.000,,,,3537.817,
2018-01-17,,,,,0.659,,5.000,,,,1618.183,
2018-01-18,,,,,1.392,,11.000,,,,3286.000,
2018-01-19,,,,,1.372,,30.000,,,,3550.858,
2018-01-20,,,,,4.035,,31.000,,,,10465.209,
2018-01-21,,,,,2.949,,38.000,,,,7729.598,
2018-01-22,,,,,3.656,,31.000,,,,9640.335,
2018-01-23,,,,,4.454,,59.000,,,,11066.000,
2018-01-24,,,,,4.203,,40.000,,,,10833.000,
2018-01-25,,,,,4.173,,28.000,,,,10545.004,
2018-01-26,,,,,4.184,,33.000,,,,10733.568,
2018-01-27,,,,,1.768,,25.000,,,,4662.428,
2018-01-28,,,,,1.948,,18.000,,,,4479.000,
2018-01-29,,,,,3.621,,24.000,,,,9224.000,
2018-01-30,,,,,3.291,,35.000,,,,8720.000,
2018-01-31,,,,,3.637,,28.000,,,,9157.000,
2018-02-01,,,,,3.205,,39.000,,,,8097.000,
2018-02-02,,,,,2.694,,20.000,,,,6827.000,
2018-02-03,,,,,1.942,,13.000,,,,4829.000,
2018-02-04,,,,,2.500,,19.000,,,,6393.000,
2018-02-05,,,,,2.903,,33.000,,,,7651.000,
2018-02-06,,,,,3.909,,47.000,,,,10170.000,
2018-02-07,,,,,2.710,,40.000,,,,7212.000,
2018-02-08,,,,,4.385,,38.000,,,,11576.000,
2018-02-09,,,,,4.190,,30.000,,,,11042.000,
2018-02-10,,,,,0.996,,7.000,,,,2674.813,
2018-02-11,,,,,2.412,,15.000,,,,6058.187,
2018-02-12,,,,,3.457,,32.000,,,,8648.000,
2018-02-13,,,,,4.297,,45.000,,,,10854.000,
2018-02-14,,,,,4.996,,53.000,,,,12840.000,
2018-02-15,,,,,4.302,,44.000,,,,10584.182,
2018-02-16,,,,,5.354,,35.000,,,,12628.818,
2018-02-17,,,,,0.838,,14.000,,,,2129.000,
2018-02-18,,,,,1.609,,19.000,,,,4124.000,
2018-02-19,,,,,2.633,,26.000,,,,6901.000,
2018-02-20,,,,,2.628,,37.000,,,,6923.000,
2018-02-21,,,,,3.946,,39.000,,,,9654.000,
2018-02-22,,,,,3.868,,41.000,,,,9198.114,
2018-02-23,,,,,3.702,,40.000,,,,9251.933,
2018-02-24,,,,,3.517,,30.000,,,,9027.954,
2018-02-25,,,,,1.775,,20.000,,,,4365.000,
2018-02-26,,,,,3.088,,21.000,,,,7272.000,
2018-02-27,,,,,2.771,,24.000,,,,6696.000,
2018-02-28,,,,,3.801,,28.000,,,,9307.000,
2018-03-01,,,,,3.081,,35.000,,,,7817.622,
2018-03-02,,,,,4.486,,42.000,,,,10803.176,
2018-03-03,,,,,4.200,,64.000,,,,10647.202,
2018-03-04,,,,,2.785,,16.000,,,,7166.000,
2018-03-05,,,,,3.074,,34.000,,,,7921.000,
2018-03-06,,,,,4.696,,35.000,,,,12293.000,
2018-03-07,,,,,5.948,,68.000,,,,15127.000,
2018-03-08,,,,,4.935,,46.000,,,,12529.265,
2018-03-09,,,,,2.565,,29.000,,,,6338.735,
2018-03-10,,,,,5.200,,47.000,,,,13602.541,
2018-03-11,,,,,2.358,,34.000,,,,5801.459,
2018-03-12,,,,,2.962,,18.000,,,,7389.000,
2018-03-13,,,,,3.182,,30.000,,,,8155.000,
2018-03-14,,,,,3.543,,33.000,,,,8657.000,
2018-03-15,,,,,4.615,,48.000,,,,11486.592,
2018-03-16,,,,,4.482,,27.000,,,,11050.278,
2018-03-17,,,,,1.500,,10.000,,,,3863.854,
2018-03-18,,,,,0.572,,4.000,,,,1506.275,
2018-03-19,,,,,2.794,,30.000,,,,7340.000,
2018-03-20,,,,,3.878,,36.000,,,,9062.777,
2018-03-21,,,,,4.916,,40.000,,,,11394.223,
2018-03-22,,,,,7.188,,47.000,,,,16915.073,
2018-03-23,,,,,2.756,,31.000,,,,7383.618,
2018-03-24,,,,,1.621,,9.000,,,,4334.540,
2018-03-25,,,,,2.537,,17.000,,,,6542.789,
2018-03-26,,,,,3.402,,5.000,,,,8610.980,
