Date,Active energy burned(Cal),Activity,Distance(mi),Duration(s),Elevation: Ascended(ft),Elevation: Maximum(ft),Elevation: Minimum(ft),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Speed: Average(mi/hr),Speed: Maximum(mi/hr),Swimming stroke count(count),Weather: Humidity(%),Weather: Temperature(degF)
2022-07-05 08:35:35 - 2022-07-05 08:55:14,85.859,Walking,1.007,1179.549,8.005,619.781,590.564,1.000,0.000,0.000,0.000,0.000,85.552,105.000,5.002,,,,76.000,82.400
2022-07-05 17:28:26 - 2022-07-05 17:45:15,68.576,Walking,0.804,1008.571,,611.895,598.630,1.000,0.000,0.000,0.000,0.000,90.094,112.000,4.767,,,,80.000,78.800
2022-07-05 18:10:04 - 2022-07-05 18:28:37,61.652,Walking,0.845,1113.075,68.766,687.482,605.177,0.966,0.034,0.000,0.000,0.000,93.466,117.000,4.149,,,,78.000,78.800
2022-07-06 08:50:31 - 2022-07-06 09:05:20,68.485,Walking,0.741,888.698,63.615,634.599,590.989,0.949,0.051,0.000,0.000,0.000,85.040,124.000,5.217,,,,,
2022-07-06 14:29:36 - 2022-07-06 14:41:06,38.870,Pilates,,690.260,,,,1.000,0.000,0.000,0.000,0.000,88.206,108.000,4.233,,,,86.000,71.600
2022-07-06 14:30:05 - 2022-07-06 14:41:11,72.000,Functional Strength Training (Indoor),,666.000,,,,1.000,0.000,0.000,0.000,0.000,88.522,108.000,,,,,,
2022-07-11 16:14:26 - 2022-07-11 16:46:55,149.974,Walking,1.486,1949.048,66.175,120.806,25.141,0.769,0.231,0.000,0.000,0.000,108.338,130.000,5.161,,,,66.000,69.800
2022-07-12 10:28:25 - 2022-07-12 10:44:26,69.566,Walking,0.786,961.277,28.773,66.800,27.026,0.970,0.030,0.000,0.000,0.000,105.300,118.000,5.586,,,,93.000,57.200
2022-07-12 14:55:52 - 2022-07-12 15:34:55,139.710,Walking,1.869,2343.378,55.709,65.536,12.218,0.997,0.003,0.000,0.000,0.000,103.588,116.000,4.535,,,,77.000,64.400
2022-07-13 21:59:54 - 2022-07-13 23:06:49,271.129,Walking,3.362,4014.983,77.001,77.891,19.248,0.951,0.049,0.000,0.000,0.000,107.094,124.000,4.917,,,,85.000,59.000
