Date,Active energy burned(Cal),Activity,Distance(mi),Duration(s),Elevation: Ascended(ft),Elevation: Maximum(ft),Elevation: Minimum(ft),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Speed: Average(mi/hr),Speed: Maximum(mi/hr),Swimming stroke count(count),Weather: Humidity(%),Weather: Temperature(degF)
2020-08-06 14:36:13 - 2020-08-06 15:21:23,153.143,Walking,1.855,2709.350,45.505,613.982,579.787,1.000,0.000,0.000,0.000,0.000,94.601,105.000,4.208,,,,49.000,76.000
2020-08-06 18:18:14 - 2020-08-06 18:47:57,114.441,Walking,1.383,1782.358,,609.829,594.166,1.000,0.000,0.000,0.000,0.000,93.286,101.379,4.886,,,,50.000,75.000
2020-08-07 12:10:20 - 2020-08-07 12:29:22,101.283,Walking,1.181,1142.267,,605.365,595.049,1.000,0.000,0.000,0.000,0.000,96.777,106.662,6.939,,,,56.000,76.000
2020-08-07 18:07:06 - 2020-08-07 18:33:57,101.541,Walking,1.347,1610.889,11.713,594.739,591.854,0.286,0.714,0.000,0.000,0.000,116.918,121.000,5.308,,,,56.000,77.000
2020-08-08 20:42:13 - 2020-08-08 20:56:40,53.178,Cycling,2.454,866.289,16.535,603.347,587.175,0.000,0.000,0.000,1.000,0.000,159.801,160.547,5.010,,,,71.000,80.000
2020-08-09 12:37:05 - 2020-08-09 12:37:08,4.000,Cross Training (Indoor),,3.000,,,,,,,,,,,,,,,,
2020-08-10 08:07:49 - 2020-08-10 08:27:47,65.394,Walking,0.943,1198.083,39.075,651.429,595.029,1.000,0.000,0.000,0.000,0.000,89.150,94.902,4.512,,,,87.000,77.000
2020-08-10 10:17:58 - 2020-08-10 10:47:58,150.000,Functional Strength Training (Indoor),,1800.000,,,,0.500,0.000,0.500,0.000,0.000,123.500,150.000,,,,,,
2020-08-11 08:18:53 - 2020-08-11 08:46:23,105.574,Walking,1.355,1650.299,37.303,617.211,594.135,1.000,0.000,0.000,0.000,0.000,98.726,101.000,4.970,,,,81.000,70.000
2020-08-11 10:20:50 - 2020-08-11 10:30:50,51.000,Preparation and Recovery (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,87.000,94.000,,,,,,
2020-08-11 10:33:24 - 2020-08-11 11:03:24,152.000,Functional Strength Training (Indoor),,1800.000,,,,1.000,0.000,0.000,0.000,0.000,83.800,89.000,,,,,,
2020-08-11 11:07:30 - 2020-08-11 11:17:30,25.000,Preparation and Recovery (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,89.000,105.000,,,,,,
2020-08-11 13:32:57 - 2020-08-11 14:00:13,137.067,Walking,1.563,1636.011,58.563,602.607,563.447,1.000,0.000,0.000,0.000,0.000,103.527,112.198,5.666,,,,49.000,79.000
2020-08-11 19:15:43 - 2020-08-11 19:44:47,103.778,Walking,1.409,1743.543,178.445,623.663,591.174,1.000,0.000,0.000,0.000,0.000,89.949,95.696,4.594,,,,56.000,74.000
2020-08-12 08:13:06 - 2020-08-12 08:44:27,109.106,Walking,1.418,1880.419,39.731,692.868,594.203,1.000,0.000,0.000,0.000,0.000,90.198,99.000,4.471,,,,64.000,73.000
2020-08-12 19:06:49 - 2020-08-12 20:04:21,242.175,Walking,2.920,3452.154,,609.010,577.558,1.000,0.000,0.000,0.000,0.000,91.605,96.000,5.164,,,,65.000,76.000
2020-08-13 16:08:01 - 2020-08-13 16:37:56,308.496,HIIT,,1795.340,,,,0.000,0.333,0.667,0.000,0.000,136.635,143.709,10.292,,,,52.000,78.000
2020-08-13 16:08:09 - 2020-08-13 16:38:09,151.000,Functional Strength Training (Indoor),,1800.000,,,,0.000,0.000,1.000,0.000,0.000,140.309,143.709,,,,,,
2020-08-13 18:07:44 - 2020-08-13 18:33:23,105.603,Walking,1.385,1539.151,,595.588,591.777,1.000,0.000,0.000,0.000,0.000,94.966,99.706,5.316,,,,57.000,78.000
2020-08-14 08:12:59 - 2020-08-14 08:42:46,110.931,Walking,1.316,1786.941,41.699,611.577,593.611,1.000,0.000,0.000,0.000,0.000,89.155,93.000,4.717,,,,72.000,77.000
2020-08-14 17:29:32 - 2020-08-14 17:53:08,103.021,Yoga,,1415.824,,,,1.000,0.000,0.000,0.000,0.000,74.850,83.382,4.708,,,,55.000,82.000
2020-08-14 17:30:18 - 2020-08-14 17:46:47,62.000,Yoga (Indoor),,989.000,,,,,,,,,,,,,,,,
2020-08-15 10:00:06 - 2020-08-15 10:44:57,200.086,Walking,2.289,2690.835,47.244,607.994,585.124,1.000,0.000,0.000,0.000,0.000,87.940,91.596,5.177,,,,69.000,79.000
2020-08-15 11:20:54 - 2020-08-15 12:04:15,292.141,HIIT,,2600.983,,,,1.000,0.000,0.000,0.000,0.000,97.487,112.030,7.170,,,,58.000,84.000
2020-08-15 11:21:41 - 2020-08-15 11:51:41,152.000,Functional Strength Training (Indoor),,1800.000,,,,1.000,0.000,0.000,0.000,0.000,112.030,112.030,,,,,,
2020-08-15 11:54:45 - 2020-08-15 11:59:15,25.000,Functional Strength Training (Indoor),,270.000,,,,,,,,,,,,,,,,
2020-08-15 17:03:15 - 2020-08-15 17:30:04,121.666,Walking,1.299,1608.736,149.902,597.076,588.895,1.000,0.000,0.000,0.000,0.000,93.162,97.017,5.786,,,,62.000,81.000
2020-08-16 11:43:22 - 2020-08-16 12:02:24,82.770,Walking,1.062,1142.178,6.726,599.882,586.455,1.000,0.000,0.000,0.000,0.000,97.698,99.620,5.067,,,,47.000,77.000
2020-08-16 12:23:00 - 2020-08-16 13:24:21,252.422,Walking,3.065,3680.511,201.181,610.728,590.828,1.000,0.000,0.000,0.000,0.000,100.516,105.338,4.894,,,,43.000,78.000
2020-08-17 07:51:39 - 2020-08-17 08:08:31,83.587,Walking,0.974,1012.293,,600.587,577.330,1.000,0.000,0.000,0.000,0.000,90.029,92.384,5.720,,,,66.000,72.000
2020-08-17 08:18:27 - 2020-08-17 08:24:45,61.101,Running,0.687,301.210,,600.086,589.798,0.000,0.000,0.000,1.000,0.000,163.849,163.849,10.534,,,,65.000,72.000
2020-08-17 16:39:23 - 2020-08-17 17:02:43,194.359,HIIT,,1399.924,,,,0.000,1.000,0.000,0.000,0.000,120.883,121.768,8.587,,,,48.000,79.000
2020-08-17 16:39:48 - 2020-08-17 16:59:48,101.000,Functional Strength Training (Indoor),,1200.000,,,,0.000,1.000,0.000,0.000,0.000,119.997,119.997,,,,,,
2020-08-17 17:37:50 - 2020-08-17 18:12:42,140.722,Walking,1.811,2091.904,6.562,617.992,552.902,1.000,0.000,0.000,0.000,0.000,91.862,95.573,4.789,,,,48.000,78.000
2020-08-18 08:03:33 - 2020-08-18 08:27:05,78.794,Walking,0.957,1411.518,50.262,623.454,573.183,1.000,0.000,0.000,0.000,0.000,79.984,86.213,4.113,,,,61.000,71.000
2020-08-18 18:38:08 - 2020-08-18 18:48:08,51.000,Functional Strength Training (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,97.000,97.000,,,,,,
2020-08-19 07:45:32 - 2020-08-19 08:12:17,109.008,Walking,1.506,1604.423,6.660,601.870,589.295,1.000,0.000,0.000,0.000,0.000,85.168,85.862,4.854,,,,65.000,68.000
2020-08-19 14:06:08 - 2020-08-19 14:35:26,166.802,Walking,1.813,1758.450,31.988,607.408,586.000,1.000,0.000,0.000,0.000,0.000,89.757,93.271,6.248,,,,51.000,74.000
2020-08-20 08:01:58 - 2020-08-20 08:40:36,206.866,Walking,2.185,2317.692,,624.488,585.382,1.000,0.000,0.000,0.000,0.000,90.615,92.682,5.943,,,,63.000,69.000
2020-08-20 19:03:33 - 2020-08-20 19:19:03,74.000,Functional Strength Training (Indoor),,930.000,,,,0.986,0.014,0.000,0.000,0.000,102.971,118.000,,,,,,
2020-08-21 07:55:27 - 2020-08-21 07:56:46,6.408,Rowing,,76.582,,,,0.167,0.833,0.000,0.000,0.000,126.333,133.000,5.971,,,,68.000,72.000
2020-08-26 17:22:50 - 2020-08-26 17:49:51,117.785,Walking,1.507,1620.511,17.323,619.307,554.283,1.000,0.000,0.000,0.000,0.000,90.839,92.418,5.112,,,,44.000,91.000
2020-08-27 07:49:47 - 2020-08-27 08:17:54,106.422,Walking,1.388,1687.674,39.239,628.599,572.478,1.000,0.000,0.000,0.000,0.000,88.640,91.025,4.521,,,,87.000,77.000
2020-08-27 10:50:38 - 2020-08-27 11:14:05,97.380,Walking,1.373,1407.377,179.626,613.347,570.124,1.000,0.000,0.000,0.000,0.000,88.560,92.900,4.896,,,,63.000,86.000
2020-08-27 15:34:22 - 2020-08-27 15:54:22,231.000,Cycling (Indoor),6.010,1200.000,,,,0.000,0.000,0.000,1.000,0.000,155.166,155.166,,18.100,25.900,,,
2020-08-27 15:35:52 - 2020-08-27 15:55:04,238.379,Cycling (Indoor),,1151.656,,,,0.000,0.000,0.000,1.000,0.000,161.000,166.833,12.159,,,,82.000,77.000
2020-08-28 05:41:09 - 2020-08-28 06:25:27,225.608,Walking,2.739,2658.019,40.617,611.480,594.890,0.875,0.000,0.125,0.000,0.000,96.657,141.529,6.161,,,,88.000,77.000
2020-08-28 07:11:05 - 2020-08-28 07:28:11,68.039,Walking,0.876,1025.418,37.041,597.579,595.272,1.000,0.000,0.000,0.000,0.000,95.047,100.000,5.298,,,,89.000,77.000
2020-08-28 08:28:11 - 2020-08-28 08:44:54,61.219,Walking,0.846,1003.006,36.319,602.964,595.401,1.000,0.000,0.000,0.000,0.000,92.888,95.000,5.219,,,,82.000,80.000
2020-08-28 17:28:12 - 2020-08-28 17:48:12,101.000,Functional Strength Training (Indoor),,1200.000,,,,0.500,0.500,0.000,0.000,0.000,108.500,124.000,,,,,,
2020-08-31 08:38:11 - 2020-08-31 09:08:11,111.000,Yoga (Indoor),,1800.000,,,,,,,,,,,,,,,,
2020-08-31 14:31:20 - 2020-08-31 14:51:20,101.000,Functional Strength Training (Indoor),,1200.000,,,,,,,,,,,,,,,,
2020-08-31 14:55:19 - 2020-08-31 15:15:19,101.000,Functional Strength Training (Indoor),,1200.000,,,,,,,,,,,,,,,,
2020-09-01 08:05:56 - 2020-09-01 08:48:47,254.655,Walking,3.001,2571.518,6.562,603.792,590.313,0.500,0.500,0.000,0.000,0.000,105.589,118.363,7.163,,,,74.000,71.000
2020-09-04 11:35:54 - 2020-09-04 11:55:54,101.000,Functional Strength Training (Indoor),,1200.000,,,,0.600,0.033,0.367,0.000,0.000,115.567,148.000,,,,,,
2020-09-05 09:14:41 - 2020-09-05 09:25:41,40.000,Yoga (Indoor),,660.000,,,,1.000,0.000,0.000,0.000,0.000,87.000,87.000,,,,,,
2020-09-05 09:58:30 - 2020-09-05 10:32:57,148.761,Walking,1.854,2066.265,18.832,602.836,585.506,1.000,0.000,0.000,0.000,0.000,93.644,100.395,5.323,,,,49.000,75.000
2020-09-06 09:42:31 - 2020-09-06 09:51:00,32.000,Yoga (Indoor),,509.000,,,,1.000,0.000,0.000,0.000,0.000,75.000,75.000,,,,,,
2020-09-06 11:30:23 - 2020-09-06 11:44:41,207.313,Running,2.021,858.631,111.089,903.281,843.499,0.000,0.000,0.000,0.500,0.500,176.140,184.062,13.995,,,,83.000,67.000
2020-09-06 11:52:02 - 2020-09-06 12:02:02,25.000,Preparation and Recovery (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,103.500,107.000,,,,,,
2020-09-06 12:04:24 - 2020-09-06 12:14:24,51.000,Functional Strength Training (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,114.000,114.000,,,,,,
2020-09-07 08:56:13 - 2020-09-07 09:16:13,75.000,Yoga (Indoor),,1200.000,,,,1.000,0.000,0.000,0.000,0.000,88.667,92.000,,,,,,
2020-09-08 13:19:25 - 2020-09-08 13:49:25,214.000,Cycling (Indoor),6.260,1800.000,,,,0.333,0.000,0.667,0.000,0.000,127.230,145.043,,12.500,25.600,,,
2020-09-08 13:21:28 - 2020-09-08 13:50:43,296.837,Cycling (Indoor),,1754.887,,,,0.000,0.000,1.000,0.000,0.000,144.679,147.345,10.162,,,,96.000,61.000
2020-09-09 06:41:04 - 2020-09-09 06:51:04,38.000,Yoga (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,72.500,82.000,,,,,,
2020-09-09 16:22:56 - 2020-09-09 16:27:50,35.867,Rowing,,294.217,,,,0.042,0.520,0.438,0.000,0.000,134.271,147.000,7.749,,,,90.000,63.000
2020-09-09 17:22:10 - 2020-09-09 17:48:01,60.650,Cycling,3.112,1550.260,31.726,625.297,582.569,0.333,0.000,0.667,0.000,0.000,131.543,142.248,4.213,,,,85.000,65.000
2020-09-10 15:55:34 - 2020-09-10 16:29:54,138.411,Walking,1.762,2060.416,180.052,625.046,578.764,1.000,0.000,0.000,0.000,0.000,89.162,100.005,4.862,,,,76.000,63.000
2020-09-11 07:32:07 - 2020-09-11 07:42:42,50.415,Walking,0.666,634.795,,597.179,590.623,1.000,0.000,0.000,0.000,0.000,100.400,105.000,,,,,92.000,61.000
2020-09-11 08:28:54 - 2020-09-11 08:47:18,71.761,Cycling,3.048,1103.865,,608.966,583.131,0.000,0.000,1.000,0.000,0.000,137.479,137.679,4.957,,,,91.000,61.000
2020-09-11 17:00:10 - 2020-09-11 17:05:18,33.615,Rowing,,307.884,,,,0.000,0.000,1.000,0.000,0.000,136.894,136.894,7.125,,,,77.000,67.000
2020-09-11 17:56:33 - 2020-09-11 18:17:29,56.121,Cycling,2.997,1256.504,20.735,608.297,591.815,0.000,0.500,0.500,0.000,0.000,136.874,141.463,4.063,,,,79.000,67.000
2020-09-11 18:27:37 - 2020-09-11 18:55:42,123.935,Walking,1.411,1685.366,180.709,603.662,554.932,1.000,0.000,0.000,0.000,0.000,100.201,102.937,5.145,,,,80.000,66.000
2020-09-11 19:02:11 - 2020-09-11 19:38:01,133.989,Walking,1.546,2150.091,8.661,617.986,586.785,1.000,0.000,0.000,0.000,0.000,94.594,98.000,4.854,,,,79.000,67.000
2020-09-12 13:27:37 - 2020-09-12 17:18:05,131.676,Walking,1.443,1641.395,30.610,607.712,593.592,0.571,0.429,0.000,0.000,0.000,98.369,123.491,6.076,,,,99.000,67.000
2020-09-13 14:37:48 - 2020-09-13 14:55:47,79.000,Functional Strength Training (Indoor),,1079.000,,,,0.333,0.334,0.333,0.000,0.000,127.333,150.000,,,,,,
2020-09-14 19:16:40 - 2020-09-14 19:34:35,71.001,Cycling,2.937,1074.401,28.412,612.459,585.317,0.000,0.500,0.500,0.000,0.000,132.702,135.947,5.381,,,,69.000,68.000
2020-09-15 08:11:07 - 2020-09-15 08:24:19,60.309,Cycling,2.043,792.060,32.677,606.121,578.592,0.000,1.000,0.000,0.000,0.000,124.384,133.288,5.641,,,,84.000,61.000
2020-09-15 11:48:02 - 2020-09-15 12:10:35,228.970,Cycling (Indoor),,1352.926,,,,0.000,0.667,0.333,0.000,0.000,136.392,151.245,10.199,,,,59.000,72.000
2020-09-15 11:48:36 - 2020-09-15 12:08:36,186.000,Cycling (Indoor),5.570,1200.000,,,,0.000,0.000,1.000,0.000,0.000,151.245,151.245,,16.800,25.900,,,
2020-09-16 08:15:06 - 2020-09-16 08:32:58,62.346,Cycling,2.772,1072.201,7.644,602.271,583.139,0.000,1.000,0.000,0.000,0.000,117.980,118.055,4.638,,,,74.000,63.000
2020-09-16 16:15:38 - 2020-09-16 16:22:42,44.421,Rowing,,423.324,,,,0.000,0.000,1.000,0.000,0.000,139.866,139.866,6.872,,,,50.000,83.000
2020-09-16 17:54:51 - 2020-09-16 18:11:29,104.064,Cycling,3.121,953.855,40.420,621.821,556.105,0.000,0.000,1.000,0.000,0.000,151.319,153.557,7.714,,,,50.000,82.000
2020-09-16 19:31:07 - 2020-09-16 19:36:37,42.998,Cycling,1.251,330.116,,601.704,552.887,0.000,0.000,0.000,1.000,0.000,164.277,164.277,8.409,,,,64.000,76.000
2020-09-17 19:04:04 - 2020-09-17 19:20:07,61.378,Cycling,2.840,963.122,13.386,604.476,567.574,0.000,0.500,0.500,0.000,0.000,130.778,141.341,4.886,,,,57.000,62.000
2020-09-18 15:24:09 - 2020-09-18 15:29:13,31.065,Rowing,,304.588,,,,0.000,0.000,1.000,0.000,0.000,147.674,147.674,6.730,,,,46.000,60.000
2020-09-18 16:50:01 - 2020-09-18 17:08:09,62.625,Cycling,2.801,1087.973,27.198,,,0.000,0.000,1.000,0.000,0.000,140.559,142.446,5.200,,,,48.000,58.000
2020-09-21 17:43:11 - 2020-09-21 17:50:14,46.066,Rowing,,423.430,,,,0.000,1.000,0.000,0.000,0.000,134.305,134.305,7.092,,,,,
2020-09-21 18:52:16 - 2020-09-21 19:02:16,124.000,Running (Indoor),1.040,600.000,,,,1.000,0.000,0.000,0.000,0.000,94.000,94.000,,6.200,8.000,,,
2020-09-21 18:54:49 - 2020-09-21 19:04:13,108.857,Running (Indoor),0.974,564.504,,,,0.000,1.000,0.000,0.000,0.000,134.679,134.679,10.285,,,,57.000,66.200
2020-09-22 07:26:55 - 2020-09-22 07:46:55,74.000,Yoga (Indoor),,1200.000,,,,1.000,0.000,0.000,0.000,0.000,79.250,90.000,,,,,,
2020-09-22 08:12:22 - 2020-09-22 08:26:32,68.557,Cycling,2.726,850.704,,,,0.000,0.000,1.000,0.000,0.000,142.154,144.268,5.844,,,,69.000,59.000
2020-09-22 18:19:04 - 2020-09-22 18:26:08,47.656,Rowing,,424.524,,,,0.000,0.000,0.000,1.000,0.000,156.662,156.662,7.278,,,,50.000,75.200
2020-09-22 18:28:19 - 2020-09-22 18:38:19,51.000,Functional Strength Training (Indoor),,600.000,,,,0.933,0.067,0.000,0.000,0.000,106.733,116.000,,,,,,
2020-09-22 18:45:38 - 2020-09-22 19:04:14,77.161,Cycling,2.954,1115.426,35.269,,,0.000,1.000,0.000,0.000,0.000,129.017,131.488,6.208,,,,52.000,73.400
2020-09-23 08:31:44 - 2020-09-23 08:42:15,72.262,Cycling,2.118,631.502,40.420,,,0.000,0.000,1.000,0.000,0.000,142.577,142.577,7.985,,,,77.000,64.400
2020-09-23 18:55:51 - 2020-09-23 19:12:00,100.101,Cycling,2.062,968.999,54.068,,,0.000,1.000,0.000,0.000,0.000,123.429,131.591,7.244,,,,56.000,73.400
2020-09-24 18:12:43 - 2020-09-24 18:32:22,59.176,Cycling,3.011,1179.588,27.822,,,0.000,1.000,0.000,0.000,0.000,124.672,131.157,5.002,,,,50.000,75.200
2020-09-25 08:00:52 - 2020-09-25 08:15:20,76.802,Cycling,2.751,867.572,,,,0.000,0.000,1.000,0.000,0.000,138.537,138.674,6.344,,,,,
2020-09-25 16:44:21 - 2020-09-25 16:48:08,23.018,Rowing,,226.778,,,,0.025,0.575,0.400,0.000,0.000,131.025,141.000,6.719,,,,43.000,78.800
2020-09-26 11:58:07 - 2020-09-26 12:08:12,39.684,Walking,0.550,605.008,,,,1.000,0.000,0.000,0.000,0.000,103.556,109.000,,,,,,
2020-09-27 09:47:41 - 2020-09-27 09:57:41,25.000,Preparation and Recovery (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,68.000,73.000,,,,,,
2020-09-27 10:02:59 - 2020-09-27 10:22:59,72.000,Yoga (Indoor),,1200.000,,,,1.000,0.000,0.000,0.000,0.000,89.365,105.000,,,,,,
2020-09-27 10:27:08 - 2020-09-27 10:47:37,101.000,Functional Strength Training (Indoor),,1229.000,,,,0.800,0.200,0.000,0.000,0.000,106.200,121.000,,,,,,
2020-09-30 17:39:27 - 2020-09-30 18:09:57,152.000,Functional Strength Training (Indoor),,1830.000,,,,0.000,0.333,0.334,0.333,0.000,145.480,163.400,,,,,,
2020-09-30 17:39:40 - 2020-09-30 18:10:00,315.018,HIIT,,1819.201,,,,0.000,0.333,0.334,0.333,0.000,145.480,163.400,10.354,,,,,
2020-10-05 08:26:44 - 2020-10-05 08:38:44,52.487,Cycling,1.841,720.487,31.135,,,0.000,1.000,0.000,0.000,0.000,132.260,132.260,5.534,,,,,
2020-10-06 08:38:39 - 2020-10-06 08:53:05,73.182,Cycling,2.087,865.809,40.354,,,0.000,0.500,0.000,0.500,0.000,144.260,158.622,6.534,,,,64.000,51.800
2020-10-06 17:45:17 - 2020-10-06 17:52:26,62.036,Rowing,,428.565,,,,0.000,0.000,1.000,0.000,0.000,143.014,143.014,8.929,,,,38.000,71.600
2020-10-06 18:19:20 - 2020-10-06 18:20:59,9.000,Running (Indoor),0.080,99.000,,,,0.000,0.000,1.000,0.000,0.000,143.000,143.000,,1.700,5.600,,,
2020-10-06 18:19:48 - 2020-10-06 18:21:06,11.882,Running (Indoor),0.058,78.695,,,,0.000,0.000,1.000,0.000,0.000,144.000,145.000,10.275,,,,36.000,71.600
2020-10-06 18:22:40 - 2020-10-06 18:31:09,103.379,Running (Indoor),1.004,508.480,,,,0.000,0.000,0.000,1.000,0.000,172.903,172.903,11.933,,,,36.000,71.600
2020-10-06 18:22:53 - 2020-10-06 18:29:52,100.000,Running (Indoor),0.850,419.000,,,,,,,,,,,,7.200,8.000,,,
2020-10-07 18:29:38 - 2020-10-07 18:37:58,68.970,Cycling,1.796,499.421,25.623,,,0.000,0.000,1.000,0.000,0.000,143.084,143.084,8.685,,,,34.000,69.800
2020-10-08 08:16:37 - 2020-10-08 08:25:28,61.175,Cycling,1.805,530.860,34.974,,,0.000,0.000,1.000,0.000,0.000,142.792,142.792,7.663,,,,73.000,53.600
2020-10-10 17:29:15 - 2020-10-10 18:14:15,228.000,Functional Strength Training (Indoor),,2700.000,,,,1.000,0.000,0.000,0.000,0.000,95.000,114.000,,,,,,
2020-10-11 13:50:33 - 2020-10-11 14:20:33,152.000,Functional Strength Training (Indoor),,1800.000,,,,0.667,0.333,0.000,0.000,0.000,107.333,123.000,,,,,,
2020-10-11 14:30:57 - 2020-10-11 14:50:57,101.000,Functional Strength Training (Indoor),,1200.000,,,,0.500,0.500,0.000,0.000,0.000,114.250,126.000,,,,,,
2020-10-12 07:18:38 - 2020-10-12 07:27:03,64.686,Cycling,1.651,504.983,46.161,,,0.000,0.000,0.000,1.000,0.000,159.738,159.738,8.251,,,,89.000,60.800
2020-10-12 07:43:59 - 2020-10-12 07:54:06,81.804,Rowing,,606.994,,,,0.000,0.000,1.000,0.000,0.000,138.471,138.471,8.398,,,,91.000,60.800
2020-10-12 19:04:55 - 2020-10-12 19:12:56,65.467,Cycling,1.775,480.595,26.673,,,0.000,0.000,0.000,1.000,0.000,162.750,162.750,8.618,,,,72.000,55.400
2020-10-13 07:39:47 - 2020-10-13 07:48:33,56.274,Cycling,1.815,526.009,38.091,,,0.000,0.000,1.000,0.000,0.000,152.145,152.145,7.022,,,,,
2020-10-13 18:37:44 - 2020-10-13 18:42:50,47.780,Rowing,,306.223,,,,0.000,1.000,0.000,0.000,0.000,125.516,125.516,9.611,,,,34.000,66.200
2020-10-14 17:57:52 - 2020-10-14 18:12:19,142.483,HIIT,,867.179,,,,0.000,0.500,0.500,0.000,0.000,135.938,152.557,9.899,,,,30.000,71.600
2020-10-15 18:30:53 - 2020-10-15 18:41:00,87.460,Rowing,,606.501,,,,0.000,0.000,0.000,1.000,0.000,156.808,156.808,8.888,,,,36.000,51.800
2020-10-15 19:21:00 - 2020-10-15 19:34:24,80.612,Cycling,2.054,804.050,156.955,,,0.000,0.500,0.000,0.500,0.000,147.775,161.751,6.610,,,,35.000,51.800
2020-10-17 10:55:06 - 2020-10-17 11:26:06,152.000,Functional Strength Training (Indoor),,1860.000,,,,0.000,1.000,0.000,0.000,0.000,122.000,122.000,,,,,,
2020-10-17 11:32:49 - 2020-10-17 11:42:49,51.000,Functional Strength Training (Indoor),,600.000,,,,0.000,1.000,0.000,0.000,0.000,122.500,123.000,,,,,,
2020-10-19 08:21:56 - 2020-10-19 08:30:49,58.288,Cycling,1.808,533.453,27.493,,,0.000,0.000,1.000,0.000,0.000,138.192,138.192,7.182,,,,,
2020-10-19 12:03:50 - 2020-10-19 12:33:50,295.000,Cycling (Indoor),8.610,1800.000,,,,0.334,0.000,0.333,0.333,0.000,127.261,157.577,,17.300,24.000,,,
2020-10-19 12:03:57 - 2020-10-19 12:34:46,323.278,Cycling (Indoor),,1849.024,,,,0.000,0.000,0.333,0.667,0.000,152.449,159.565,10.457,,,,61.000,51.800
2020-10-19 17:18:02 - 2020-10-19 17:33:05,134.497,Rowing,,902.776,,,,0.000,0.000,1.000,0.000,0.000,141.609,141.609,9.126,,,,87.000,42.800
2020-10-19 18:28:30 - 2020-10-19 18:39:39,66.022,Cycling,1.918,669.676,28.871,,,0.000,0.000,1.000,0.000,0.000,145.018,145.018,6.615,,,,91.000,41.000
2020-10-20 08:32:43 - 2020-10-20 08:41:28,58.845,Cycling,1.809,524.566,42.881,,,0.000,0.000,1.000,0.000,0.000,147.215,147.215,7.395,,,,74.000,46.400
2020-10-20 17:55:06 - 2020-10-20 18:05:09,102.008,Rowing,,603.021,,,,0.000,1.000,0.000,0.000,0.000,131.494,131.494,10.193,,,,68.000,51.800
2020-10-20 18:41:26 - 2020-10-20 18:47:33,85.995,Running (Indoor),0.868,367.538,,,,0.000,0.000,0.000,1.000,0.000,173.140,173.140,13.678,,,,73.000,51.800
2020-10-20 19:08:49 - 2020-10-20 19:16:52,73.595,Cycling,1.905,482.957,21.260,,,0.000,0.000,0.000,1.000,0.000,158.477,158.477,9.408,,,,77.000,53.600
2020-10-21 08:31:54 - 2020-10-21 08:52:14,80.817,Yoga,,1220.156,,,,1.000,0.000,0.000,0.000,0.000,84.202,85.104,4.426,,,,84.000,46.400
2020-10-21 08:32:12 - 2020-10-21 08:52:12,71.000,Yoga (Indoor),,1200.000,,,,,,,,,,,,,,,,
2020-10-21 14:00:58 - 2020-10-21 14:22:21,152.876,Walking (Indoor),1.020,1283.830,,,,0.000,0.333,0.667,0.000,0.000,135.064,143.832,7.533,,,,57.000,55.400
2020-10-21 17:26:21 - 2020-10-21 17:46:47,102.351,Functional Strength Training,,1226.118,,,,0.000,1.000,0.000,0.000,0.000,120.490,124.440,5.755,,,,,
2020-10-21 17:27:05 - 2020-10-21 17:47:05,101.000,Functional Strength Training (Indoor),,1200.000,,,,0.000,0.250,0.750,0.000,0.000,143.610,152.000,,,,,,
2020-10-21 17:49:54 - 2020-10-21 18:00:19,65.055,Functional Strength Training,,625.020,,,,0.000,1.000,0.000,0.000,0.000,124.778,124.778,6.774,,,,73.000,51.800
2020-10-21 17:50:40 - 2020-10-21 18:00:40,51.000,Functional Strength Training (Indoor),,600.000,,,,0.000,1.000,0.000,0.000,0.000,118.750,123.000,,,,,,
2020-10-22 17:16:21 - 2020-10-22 17:26:27,94.710,Rowing,,605.593,,,,0.000,1.000,0.000,0.000,0.000,127.150,127.150,9.526,,,,60.000,75.200
2020-10-22 17:32:40 - 2020-10-22 18:34:20,412.573,Functional Strength Training,,3699.264,,,,0.167,0.500,0.333,0.000,0.000,130.327,141.841,7.126,,,,59.000,75.200
2020-10-22 19:00:40 - 2020-10-22 19:10:23,55.978,Cycling,1.814,582.912,29.626,,,0.000,0.000,1.000,0.000,0.000,137.580,137.580,6.573,,,,,
2020-10-23 08:17:43 - 2020-10-23 08:23:30,63.932,Cycling,1.663,346.736,28.871,,,0.000,1.000,0.000,0.000,0.000,128.549,128.549,11.256,,,,81.000,64.400
2020-10-23 17:24:01 - 2020-10-23 17:30:59,91.325,Cycling,1.792,418.265,49.836,,,0.000,0.000,1.000,0.000,0.000,150.534,150.534,12.870,,,,89.000,42.800
